Owner,Repository name,Total PRs,Total reviews,Total files,Analysis time,Description,Interactions
thedaviddias,Front-End-Checklist,83,00000000000000000010000030000000000000000002001011121011110001021000000000004000000,11111111111111111111111111111111111111111111111111111111111111111111111111113111111,0.12048192771084337,8398,11111111121112111111111111112111112341001112110101130111031111110111111111111111511
tiangolo,fastapi,86,00000000000000000000000000000030006000002000000000000000000300000000000000000000003000,2448149310316324343162711122134521016228211196123216611412111117776151373233314461267109516415111331,2.7209302325581395,15707,1132241211111211311431121121231216222221311112132121241111212311111121238111121133222232
tonsky,FiraCode,67,0000000000000000000000000000000000000000060000000000100000000000000,1111111111111111111111111111111111111113111112112111111111111111112,7.2835820895522385,4536,001111111101113100151130000100113111110112212111311311811101111111032
trekhleb,javascript-algorithms,67,0000001000000100000000000200000000000001000005001000000000000000000,51112133122125241233223418441122193215211051622124322111224111112132,17.73134328358209,5588,22422256731242433322222221222222222223222222232217422122222221222111
trimstray,the-book-of-secret-knowledge,77,37000000000000100010001000000000100000000000000000010010000000000000000001000,11111111111111111111111111111111111111111111111111111111111111111111111111111,3.064935064935065,7654,31111111311131111121210210401211211111311111001152201011112111011131211124000
twbs,bootstrap,32,00300000000000000000000000000000,11111111111311132131131311111113,0.65625,3094,21111010000010051230141211114421
typicode,json-server,62,00000000000000000000000000000000000000000000000000000000000000,5111272112221111114113111311214154111611211324411211232211121226,5.112903225806452,4832,11100111232413122611211221141110111111111101101123110111130120
ventoy,Ventoy,32,00000000000000000100000030000000,11111111111111111134111111111111,47.9375,2297,00002000000030000000012130100002
vercel,next.js,71,00000101311011100022200000000000000111000100400300010001000000240280250410,445611247311225120611618111411114111111131311211412211111832221411111131943,1.6056338028169015,13061,101112000000000001000000011067111111101012511112110315005251561234952671
vinta,awesome-python,92,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7065217391304348,4106,00000003100000000400021001110000002000000001021000100000000000000000000000000100001000000000
vitejs,vite,62,30000000000000000001000000000050000002100001203000000006230500,1211113111116311111311111133112211111333131541711461618911113622,0.20967741935483872,11214,200011000300100000000000010302200100003010300000011001115003100
vuejs,awesome-vue,93,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.41935483870967744,2771,000000000000000000010000000302122002100000000000101010000001000000000000000000004010000001000
vuejs,vue,48,000000000000000000000000000000000000000000000000,233221112111121111121212232122112221121112112122,1.125,6095,461110111020013100131561314111211112010153000401
webpack,webpack,68,00000000000000000000000000000000000000000000000000000000000000000000,21582311011111111111111811118211211111111112111111171521112151113121211,7.794117647058823,19255,13234121112212061121212001162211511230131173112410051711114231122221110
xtekky,gpt4free,76,0000000002011000010010000000000000001000000000000000000000020001000000000000,1111122316131112111111111133111111911331237111111321111111168121133211163111311,0.013157894736842105,6613,1200111103021100070100000000001200000103000000000001200001160021000100020000
yangshun,tech-interview-handbook,78,101000020003000000200000010000000000000000000000000000000000000101101100110011,1116111211111111111121111111115112111011111111111111111111121111111111111111121,1.9230769230769231,44459,041011251112013113310411421113121121011211000101111112111111111011201111111110
yt-dlp,yt-dlp,84,00000000803213240001112200100411000002400202700411408100306503711430121313033012022290055350,101121133123454291512927322111621136161312151211114112623472111222132221113121311121251121111,3.4761904761904763,93765,0200020360134302000220090311010220210022000000004000020201302118115100050000000253100011
ytdl-org,youtube-dl,46,0000000000000000000000000000000000000000000000,11101111111111141111111111611111132122154313111,24.0,11286,2115120014114004121512030103100100000212731011
